Age,Nationality,Employment_Status,Income_Bin,Income_Numeric,Persona,Willingness_to_Invest,Budget_Bin,Budget_Numeric,Property_Type,Preferred_Areas,Purpose,Research_Sources,Analytics_Importance,Selection_Criteria,Amenities,Research_Duration,Challenges,Lost_Deal,Analytics_Met_Needs,Premium_for_Analytics,Online_Platform_Usage,Influencer,Viewing_Method,Data_Sharing,Analytics_Comfort,Waitlist_Interest
18-24,Expat – Asian,Self-employed,"20,000–40,000",35114,First-time buyer,Likely,"500,000–1,000,000",3084775,Apartment,"Dubai Marina,Palm Jumeirah,Jumeirah Village Circle",Rental income,"Property portals,Company recommendations,Agents",Somewhat important,"Developer reputation,Location","Parking,Close to metro",2–4 weeks,Confusing legal process,No,No,No,Never,Friends,Online photos only,Maybe,4,Yes
45-54,UAE National,Student,"Below 10,000",8174,First-time buyer,Very likely,"1,000,000–2,000,000",1294891,Apartment,"Palm Jumeirah,Downtown Dubai,Dubai Marina",Rental income,"Friends/Family,Agents,Company recommendations",Somewhat important,"Location,Resale value","Parking,Other,Security",2–4 weeks,"Poor agent response,Fake listings",Yes,Somewhat,No,Rarely,Family,Agent video call,Yes,4,Maybe
25-34,Expat – Arab,Student,"10,000–20,000",16525,First-time buyer,Likely,"2,000,000–5,000,000",3129833,Villa/Townhouse,Business Bay,Rental income,Property portals,Somewhat important,"Location,Resale value",Security,Less than 1 week,"Lack of analytics/data,Not enough info on returns",Yes,No,Yes,Monthly,Friends,Agent video call,Maybe,4,Maybe
25-34,Expat – Arab,Employed,"20,000–40,000",26633,First-time buyer,Very likely,"1,000,000–2,000,000",906368,Villa/Townhouse,"Other,Downtown Dubai,Dubai Marina",Vacation home,"Social media,Friends/Family",Somewhat important,"Price per sq.ft,Rental yield,Developer reputation",Swimming pool,2–4 weeks,"Not enough info on returns,Poor agent response,Fake listings",No,No,Maybe,Monthly,Agent,Physical visit,Maybe,3,Yes
45-54,Expat – Western,Employed,"40,000–60,000",50006,Investor,Unlikely,"2,000,000–5,000,000",3557980,Commercial,"Other,Dubai Marina,Jumeirah Village Circle",Self-use,"Property portals,Agents",Not very important,"Rental yield,Location","Gym,Parking,Swimming pool",1–3 months,"Poor agent response,Fake listings",No,Somewhat,Maybe,Monthly,Online reviews,Physical visit,No,5,Yes
55+,GCC National,Self-employed,"40,000–60,000",47464,Investor,Likely,"500,000–1,000,000",831099,Apartment,"Dubai Marina,Downtown Dubai",Self-use,"Property portals,Friends/Family",Very important,"Location,Price per sq.ft","Swimming pool,Shopping mall,Gym,Security",2–4 weeks,Not enough info on returns,No,Yes,No,Never,Family,Online photos only,Yes,3,Yes
45-54,Expat – Asian,Self-employed,"10,000–20,000",14557,Renter,Unlikely,"500,000–1,000,000",844873,Apartment,"Dubai Marina,Arabian Ranches,Jumeirah Village Circle",Rental income,"Social media,Agents",Somewhat important,"Rental yield,Resale value","Gym,Security",2–4 weeks,"Confusing legal process,Not enough info on returns,Too many listings",No,No,Maybe,Rarely,Family,Online photos only,No,4,Yes
25-34,Expat – Arab,Business owner,"20,000–40,000",23703,Renter,Very likely,"2,000,000–5,000,000",4261834,Apartment,Jumeirah Village Circle,Rental income,Property portals,Somewhat important,"Location,Developer reputation",Shopping mall,1–2 weeks,"Fake listings,Not enough info on returns",Yes,No,Maybe,Weekly,Self,Agent video call,Yes,4,Yes
25-34,Expat – Arab,Homemaker,"Below 10,000",5781,Renter,Likely,"500,000–1,000,000",818036,Villa/Townhouse,"Arabian Ranches,Business Bay",Self-use,Property portals,Very important,"Developer reputation,Location","Close to metro,Swimming pool,Gym",2–4 weeks,"Too many listings,Not enough info on returns",No,No,Maybe,Weekly,Friends,Agent video call,Maybe,2,No
25-34,Expat – Arab,Employed,"Below 10,000",9405,Renter,Unlikely,"1,000,000–2,000,000",1721015,Commercial,Other,Rental income,"Other,Agents,Property portals",Somewhat important,"Community amenities,Resale value,Price per sq.ft",Swimming pool,2–4 weeks,"Lack of analytics/data,Poor agent response,Other",Yes,Somewhat,Maybe,Rarely,Family,Physical visit,Maybe,3,Maybe
35-44,Expat – Western,Student,"Below 10,000",7142,Renter,Unlikely,"1,000,000–2,000,000",1553460,Apartment,Dubai Marina,Rental income,"Property portals,Social media",Somewhat important,"Price per sq.ft,Community amenities,Resale value","Security,Swimming pool,Gym",2–4 weeks,Too many listings,No,Somewhat,No,Daily,Online reviews,Online photos only,No,3,No
25-34,Expat – Asian,Employed,"Below 10,000",9555,Investor,Likely,"500,000–1,000,000",720260,Commercial,"Downtown Dubai,Dubai Marina",Flip/Resell,Property portals,Very important,"Resale value,Mortgage eligibility,Price per sq.ft","Swimming pool,Security",More than 3 months,"Fake listings,Too many listings",No,Somewhat,Maybe,Daily,Friends,Physical visit,Maybe,3,Maybe
55+,Expat – Western,Employed,"20,000–40,000",27139,Investor,Likely,"1,000,000–2,000,000",1258348,Apartment,"Downtown Dubai,Dubai Marina",Rental income,"Social media,Friends/Family,Property portals",Somewhat important,"Rental yield,Price per sq.ft,Location",Swimming pool,1–2 weeks,"Lack of analytics/data,Not enough info on returns",No,No,Yes,Weekly,Family,Online photos only,No,5,Yes
25-34,UAE National,Self-employed,"40,000–60,000",53988,Investor,Neutral,"1,000,000–2,000,000",1365918,Apartment,"Dubai Marina,Other",Flip/Resell,"Social media,Agents",Very important,"Rental yield,Community amenities,Location","Security,Gym,Parking",1–2 weeks,"Too many listings,Poor agent response,Fake listings",No,Somewhat,Maybe,Monthly,Self,Physical visit,No,2,Maybe
18-24,Expat – Arab,Business owner,"Below 10,000",4955,First-time buyer,Likely,"5,000,000+",13681967,Apartment,Other,Self-use,Company recommendations,Very important,"Community amenities,Price per sq.ft","Parking,School nearby",More than 3 months,"Confusing legal process,Poor agent response",No,No,Yes,Daily,Online reviews,Agent video call,No,2,Yes
25-34,Expat – Western,Employed,"10,000–20,000",17761,First-time buyer,Neutral,"500,000–1,000,000",759881,Villa/Townhouse,Business Bay,Self-use,"Social media,Agents,Other",Somewhat important,"Price per sq.ft,Location,Rental yield",Gym,Less than 1 week,"Fake listings,Lack of analytics/data",No,No,No,Monthly,Family,Agent video call,Maybe,3,Maybe
45-54,Expat – Western,Retired,"20,000–40,000",28211,Renter,Very unlikely,"2,000,000–5,000,000",920141,Commercial,Palm Jumeirah,Flip/Resell,"Agents,Social media",Neutral,"Price per sq.ft,Resale value,Location",Parking,1–3 months,"Fake listings,Lack of analytics/data",Yes,No,No,Daily,Self,Agent video call,No,4,Maybe
45-54,Expat – Arab,Business owner,"10,000–20,000",12280,First-time buyer,Neutral,"1,000,000–2,000,000",1359038,Apartment,Other,Self-use,"Social media,Property portals,Friends/Family",Somewhat important,"Location,Other,Rental yield","Parking,Shopping mall",1–3 months,"Not enough info on returns,Fake listings,Too many listings",Yes,Somewhat,No,Monthly,Self,Physical visit,Maybe,5,Maybe
25-34,Expat – Asian,Self-employed,"Below 10,000",9481,First-time buyer,Very likely,"1,000,000–2,000,000",1342821,Apartment,"Dubai Marina,Downtown Dubai,Jumeirah Village Circle",Flip/Resell,"Property portals,Company recommendations",Neutral,"Location,Rental yield,Resale value","Security,Gym,Parking",2–4 weeks,Lack of analytics/data,No,No,No,Weekly,Family,Agent video call,Yes,2,No
18-24,Expat – Western,Self-employed,"20,000–40,000",31756,Renter,Neutral,"500,000–1,000,000",888129,Villa/Townhouse,Downtown Dubai,Vacation home,"Property portals,Company recommendations",Very important,"Community amenities,Developer reputation","School nearby,Swimming pool",1–3 months,"Too many listings,Fake listings",No,Yes,Maybe,Rarely,Self,Virtual tour,No,1,Maybe
55+,Expat – Western,Employed,"20,000–40,000",27465,Renter,Unlikely,"1,000,000–2,000,000",1611964,Apartment,Downtown Dubai,Flip/Resell,"Agents,Friends/Family",Very important,"Location,Price per sq.ft,Rental yield","Swimming pool,Parking,Shopping mall",More than 3 months,Poor agent response,No,Somewhat,No,Daily,Self,Online photos only,No,4,Maybe
35-44,Expat – Asian,Student,"Below 10,000",6056,Agent,Very likely,"500,000–1,000,000",801872,Other,"Business Bay,Arabian Ranches",Rental income,"Property portals,Friends/Family",Very important,"Price per sq.ft,Community amenities,Rental yield","Gym,Security,Parking,Swimming pool",1–3 months,Too many listings,No,Yes,No,Rarely,Friends,Online photos only,Yes,2,Yes
18-24,Expat – Western,Employed,"60,000+",68400,First-time buyer,Very unlikely,"1,000,000–2,000,000",1484064,Apartment,"Palm Jumeirah,Jumeirah Village Circle,Other",Rental income,Other,Very important,"Price per sq.ft,Community amenities","Security,Shopping mall",Less than 1 week,Other,No,Somewhat,Maybe,Weekly,Family,Online photos only,Yes,4,Yes
18-24,Expat – Asian,Employed,"20,000–40,000",30051,First-time buyer,Likely,"1,000,000–2,000,000",494443,Villa/Townhouse,"Other,Palm Jumeirah,Dubai Marina",Flip/Resell,Friends/Family,Somewhat important,"Other,Developer reputation,Location",Swimming pool,More than 3 months,Fake listings,No,Yes,Maybe,Weekly,Friends,Physical visit,Yes,3,Maybe
25-34,Expat – Asian,Self-employed,"60,000+",103964,First-time buyer,Very likely,"Below 500,000",453054,Commercial,"Downtown Dubai,Dubai Marina,Other",Self-use,Friends/Family,Neutral,"Rental yield,Price per sq.ft,Developer reputation",Swimming pool,Less than 1 week,"Fake listings,Not enough info on returns",No,Yes,Yes,Weekly,Online reviews,Physical visit,Maybe,1,Maybe
25-34,Expat – Arab,Homemaker,"20,000–40,000",28031,Investor,Very unlikely,"1,000,000–2,000,000",1501788,Land,"Palm Jumeirah,Downtown Dubai,Business Bay",Self-use,"Social media,Property portals",Neutral,"Price per sq.ft,Developer reputation,Community amenities","Gym,Parking,Swimming pool",More than 3 months,"Not enough info on returns,Fake listings,Too many listings",No,No,Yes,Daily,Self,Physical visit,Yes,2,Maybe
35-44,Expat – Asian,Homemaker,"10,000–20,000",16244,Investor,Very likely,"500,000–1,000,000",835810,Commercial,Jumeirah Village Circle,Self-use,"Social media,Property portals",Somewhat important,"Rental yield,Price per sq.ft","Swimming pool,Shopping mall,Close to metro",2–4 weeks,"Fake listings,Too many listings,Lack of analytics/data",Yes,No,No,Weekly,Friends,Online photos only,No,2,Maybe
25-34,Expat – Asian,Employed,"20,000–40,000",27328,Investor,Very unlikely,"2,000,000–5,000,000",3380832,Apartment,Palm Jumeirah,Self-use,Friends/Family,Very important,"Rental yield,Community amenities,Other","Swimming pool,Gym,Close to metro,Security",1–3 months,Poor agent response,No,No,Maybe,Monthly,Agent,Online photos only,Yes,2,Yes
35-44,Expat – Asian,Employed,"20,000–40,000",23043,Renter,Unlikely,"500,000–1,000,000",849031,Villa/Townhouse,"Dubai Marina,Other",Flip/Resell,"Property portals,Agents",Very important,"Rental yield,Community amenities","Parking,Swimming pool",More than 3 months,Too many listings,Yes,Somewhat,Maybe,Weekly,Family,Physical visit,Yes,3,Yes
25-34,Expat – Arab,Self-employed,"20,000–40,000",30859,Investor,Unlikely,"Below 500,000",248682,Villa/Townhouse,"Jumeirah Village Circle,Business Bay,Dubai Marina",Self-use,"Social media,Property portals,Company recommendations",Somewhat important,"Mortgage eligibility,Location",Swimming pool,1–3 months,"Fake listings,Too many listings,Lack of analytics/data",Yes,Somewhat,No,Never,Self,Virtual tour,Maybe,2,Maybe
35-44,Expat – Asian,Business owner,"10,000–20,000",16314,Investor,Likely,"1,000,000–2,000,000",1198449,Villa/Townhouse,"Dubai Marina,Business Bay,Other",Self-use,"Social media,Property portals,Agents",Somewhat important,"Price per sq.ft,Resale value","Parking,Gym",1–3 months,Too many listings,No,No,Maybe,Rarely,Family,Online photos only,No,3,Maybe
35-44,Other,Employed,"20,000–40,000",45553,Renter,Neutral,"Below 500,000",203222,Apartment,"Dubai Marina,Palm Jumeirah,Business Bay",Rental income,"Property portals,Friends/Family,Agents",Somewhat important,"Resale value,Rental yield,Community amenities",Close to metro,Less than 1 week,"Fake listings,Too many listings",No,No,No,Monthly,Family,Physical visit,Maybe,1,No
35-44,Expat – Asian,Employed,"20,000–40,000",30130,Renter,Neutral,"500,000–1,000,000",677580,Villa/Townhouse,"Arabian Ranches,Dubai Marina",Self-use,"Property portals,Social media",Neutral,"Community amenities,Price per sq.ft,Rental yield","Parking,Swimming pool,Security,Shopping mall",1–3 months,"Lack of analytics/data,Confusing legal process",No,Somewhat,No,Never,Family,Online photos only,Yes,3,Yes
25-34,Expat – Asian,Employed,"10,000–20,000",17727,Investor,Very unlikely,"500,000–1,000,000",816507,Villa/Townhouse,"Dubai Marina,Other",Self-use,"Friends/Family,Social media,Property portals",Very important,"Location,Community amenities,Price per sq.ft","Shopping mall,Gym",Less than 1 week,"Too many listings,Lack of analytics/data,Not enough info on returns",No,No,Yes,Rarely,Self,Physical visit,Yes,2,Maybe
35-44,Other,Employed,"40,000–60,000",46189,Renter,Very unlikely,"500,000–1,000,000",740441,Villa/Townhouse,"Arabian Ranches,Business Bay",Self-use,Property portals,Neutral,"Community amenities,Price per sq.ft,Rental yield","School nearby,Swimming pool,Gym,Parking",2–4 weeks,"Confusing legal process,Fake listings,Too many listings",No,No,Yes,Daily,Agent,Physical visit,Maybe,4,Yes
18-24,Expat – Western,Homemaker,"10,000–20,000",17418,Investor,Unlikely,"500,000–1,000,000",801972,Commercial,"Downtown Dubai,Arabian Ranches",Vacation home,"Company recommendations,Property portals,Social media",Not at all important,"Price per sq.ft,Location,Resale value",Swimming pool,Less than 1 week,Poor agent response,No,No,Maybe,Weekly,Agent,Physical visit,No,4,Yes
35-44,Expat – Asian,Employed,"60,000+",86050,Investor,Very unlikely,"1,000,000–2,000,000",872590,Villa/Townhouse,Palm Jumeirah,Self-use,"Social media,Company recommendations,Friends/Family",Somewhat important,"Rental yield,Mortgage eligibility,Community amenities","Swimming pool,Shopping mall",1–3 months,"Not enough info on returns,Fake listings",No,No,Maybe,Monthly,Family,Virtual tour,No,3,Yes
25-34,Expat – Asian,Student,"20,000–40,000",34895,First-time buyer,Neutral,"5,000,000+",3913098,Apartment,Business Bay,Self-use,"Friends/Family,Property portals",Neutral,"Price per sq.ft,Mortgage eligibility,Developer reputation",Swimming pool,More than 3 months,"Too many listings,Fake listings,Poor agent response",No,Yes,Yes,Rarely,Family,Online photos only,Maybe,5,No
35-44,Expat – Western,Self-employed,"20,000–40,000",22496,Renter,Very likely,"500,000–1,000,000",763668,Apartment,"Downtown Dubai,Dubai Marina",Flip/Resell,"Friends/Family,Agents",Not at all important,"Rental yield,Price per sq.ft",School nearby,1–3 months,"Poor agent response,Fake listings,Lack of analytics/data",No,No,No,Daily,Family,Virtual tour,Maybe,5,Maybe
45-54,Expat – Asian,Employed,"20,000–40,000",29830,Renter,Very unlikely,"1,000,000–2,000,000",1110199,Villa/Townhouse,Downtown Dubai,Self-use,"Property portals,Agents,Other",Somewhat important,"Rental yield,Mortgage eligibility,Price per sq.ft","Shopping mall,Swimming pool,Security",2–4 weeks,Poor agent response,No,Yes,Yes,Never,Family,Online photos only,No,3,Yes
25-34,Expat – Asian,Student,"10,000–20,000",13672,Investor,Neutral,"500,000–1,000,000",877586,Apartment,"Palm Jumeirah,Jumeirah Village Circle",Flip/Resell,"Social media,Company recommendations,Friends/Family",Neutral,"Developer reputation,Resale value,Community amenities","Gym,Swimming pool",2–4 weeks,"Not enough info on returns,Poor agent response",No,No,Yes,Monthly,Self,Physical visit,Yes,5,Maybe
35-44,Expat – Asian,Student,"Below 10,000",8447,First-time buyer,Unlikely,"500,000–1,000,000",798685,Apartment,"Dubai Marina,Business Bay",Self-use,"Friends/Family,Property portals",Somewhat important,"Price per sq.ft,Location","Gym,Close to metro,Security,Other",2–4 weeks,Fake listings,No,No,Maybe,Daily,Self,Physical visit,Maybe,1,Maybe
25-34,Expat – Asian,Employed,"20,000–40,000",31390,First-time buyer,Likely,"Below 500,000",425542,Apartment,Dubai Marina,Rental income,"Friends/Family,Property portals",Somewhat important,"Location,Developer reputation","Parking,Shopping mall",1–2 weeks,Fake listings,No,Somewhat,Maybe,Daily,Online reviews,Agent video call,Yes,3,Maybe
45-54,Expat – Asian,Employed,"10,000–20,000",11985,Renter,Unlikely,"5,000,000+",4698177,Apartment,Business Bay,Rental income,"Company recommendations,Friends/Family",Neutral,"Rental yield,Resale value","School nearby,Parking,Gym",1–3 months,"Confusing legal process,Not enough info on returns",No,Yes,Yes,Weekly,Self,Agent video call,Maybe,4,No
